Metabolite,contrast,Genotype,estimate_log2,SE,df,t_ratio,raw_p,label1,label2,Direction,p_adj_BH_global
N-Acetylserotonin,Female - Male,4s2M,0.08880035395236999,0.21074230385708803,15,0.42136938017242476,0.679461340145791,Female,Male,Female > Male,0.9221261044835735
Nicotinamide adenine dinucleotide (NAD),Female - Male,4s2-,-1.0525435302705595,0.41110727251276197,15,-2.560264925106343,0.021750609812300585,Female,Male,Male > Female,0.17762822244380783
Nicotinamide adenine dinucleotide (NAD),Female - Male,4s2M,-0.23811569773770702,0.4503454534193265,15,-0.5287400948089339,0.6047219664742562,Female,Male,Male > Female,0.9003842585877107
Nicotinamide,Female - Male,4s2-,-0.22522988470089983,0.3456698901105136,15,-0.6515750753671138,0.5245335093983072,Female,Male,Male > Female,0.8603859003080148
Nicotinamide,Female - Male,4s2M,0.12951695092840176,0.37866239252772044,15,0.34203806209490506,0.7370673970184145,Female,Male,Female > Male,0.9494427487016864
N-Methylaspartic acid,Female - Male,4s2-,0.5331017084688995,0.42173881240528516,15,1.2640565506135966,0.22550045591470433,Female,Male,Female > Male,0.5978384180064253
N-Methylaspartic acid,Female - Male,4s2M,-0.6584625251583257,0.46199172185962856,15,-1.4252690989956587,0.17455545554577998,Female,Male,Male > Female,0.5527589425616366
N-Methylglutamic acid,Female - Male,4s2-,-0.3297357861291211,0.2293217520641314,15,-1.437874005240062,0.1710048062787856,Female,Male,Male > Female,0.5527589425616366
N-Methylglutamic acid,Female - Male,4s2M,0.18480110769167363,0.2512093930642634,15,0.7356456915780953,0.4732934390371515,Female,Male,Female > Male,0.8597683153311272
Norleucine,Female - Male,4s2-,0.1890527675373078,0.26297733438615245,15,0.718893770744916,0.4832559660114524,Female,Male,Female > Male,0.8597683153311272
Norleucine,Female - Male,4s2M,-0.475822731590409,0.28807723631174936,15,-1.6517193016788267,0.11936597660417005,Female,Male,Male > Female,0.4649466862432561
Norvaline,Female - Male,4s2-,-0.49883936651463257,0.233924270549572,15,-2.1324823001165294,0.04990247870563964,Female,Male,Male > Female,0.321365274405451
Norvaline,Female - Male,4s2M,0.4198393230941643,0.256251199455884,15,1.6383896894361405,0.12214093236157259,Female,Male,Female > Male,0.4649466862432561
O-Acetylserine,Female - Male,4s2-,-0.3863561572737392,0.1539019095486941,15,-2.5104052211353314,0.024007414204187866,Female,Male,Male > Female,0.18245634795182777
O-Acetylserine,Female - Male,4s2M,-0.018065260004469952,0.16859109500587896,15,-0.10715429544982785,0.9160866304213785,Female,Male,Male > Female,0.9830965645260357
Ophthalmic acid,Female - Male,4s2-,0.11692022599054518,0.0786613926491291,15,1.4863737095536875,0.15789537101994602,Female,Male,Female > Male,0.5373155909335476
Ophthalmic acid,Female - Male,4s2M,-0.03772875647303957,0.08616923831739813,15,-0.4378448412653763,0.6677379681590987,Female,Male,Male > Female,0.9171340767486416
Oxalic acid,Female - Male,4s2-,0.08032251647959276,0.2544176139669034,15,0.3157113032670833,0.7565717154305955,Female,Male,Female > Male,0.9525101634634475
Oxalic acid,Female - Male,4s2M,-0.35467277807371267,0.2787005323926288,15,-1.2725945480938492,0.2225348079935181,Female,Male,Male > Female,0.5969168967355544
Palmitic acid,Female - Male,4s2-,-0.6193830001415312,0.35435478199684933,15,-1.7479177130084231,0.10091039601175165,Female,Male,Male > Female,0.4341050998241392
Palmitic acid,Female - Male,4s2M,0.5075888074945847,0.38817621491899984,15,1.3076247023545802,0.21068851671957778,Female,Male,Female > Male,0.5787588170128161
Phosphocholine,Female - Male,4s2-,-1.32727795678873,0.4026365157366476,15,-3.2964669246662726,0.004894232960023532,Female,Male,Male > Female,0.1097333637880563
Phosphocholine,Female - Male,4s2M,-0.0386366847335704,0.44106620428849136,15,-0.08759837946753914,0.931354640077297,Female,Male,Male > Female,0.9830965645260357
Pipecolic acid,Female - Male,4s2-,-1.0192985557727403,0.38642187591908933,15,-2.637786883437638,0.018640566370943697,Female,Male,Male > Female,0.1700686011952668
Pipecolic acid,Female - Male,4s2M,0.32734883249238866,0.4233039563086952,15,0.7733186227384771,0.4513493495631099,Female,Male,Female > Male,0.8597683153311272
Pterin,Female - Male,4s2-,-0.06248452853554405,0.1308338241323963,15,-0.4775869615514204,0.6398289041339162,Female,Male,Male > Female,0.9145661700061103
Pterin,Female - Male,4s2M,0.01304531731795032,0.14332127352395446,15,0.09102150013877701,0.9286798965976273,Female,Male,Female > Male,0.9830965645260357
Pyrazole,Female - Male,4s2-,-0.38307624170833243,0.18783864239088258,15,-2.0393899616840843,0.05943253630655473,Female,Male,Male > Female,0.3226337685212971
Pyrazole,Female - Male,4s2M,-0.08323486323000748,0.20576692321726503,15,-0.404510413668972,0.6915467186004454,Female,Male,Male > Female,0.9282939284586726
Pyridoxine,Female - Male,4s2-,-0.3417558741110358,0.2483747404273883,15,-1.3759687217909633,0.1890288531546659,Female,Male,Male > Female,0.5670865594639977
Pyridoxine,Female - Male,4s2M,-0.06124986737424645,0.2720808960931418,15,-0.2251163835967326,0.8249268456039986,Female,Male,Male > Female,0.9751800558512879
Pyruvic acid,Female - Male,4s2-,-0.04398555281749186,0.22735896405853123,15,-0.19346302442761057,0.8491917088335657,Female,Male,Male > Female,0.9754360847578736
Pyruvic acid,Female - Male,4s2M,-0.4210158909710515,0.24905926653172777,15,-1.6904245195687915,0.1116149526595044,Female,Male,Male > Female,0.4626947128430364
Riboflavin,Female - Male,4s2-,-0.34936763584385677,0.2637824414812199,15,-1.3244537198232362,0.2051788435030105,Female,Male,Male > Female,0.5720742489519506
Riboflavin,Female - Male,4s2M,0.2820668216667539,0.2889591869461012,15,0.9761476167198903,0.34447232546368745,Female,Male,Female > Male,0.7272193537566735
Sarcosine,Female - Male,4s2-,-0.27085315335748195,0.19351030577045486,15,-1.3996833516390206,0.18194912757311432,Female,Male,Male > Female,0.5606000146847306
Sarcosine,Female - Male,4s2M,-0.12207114977117825,0.2119799191604005,15,-0.5758618564186249,0.5732476084214762,Female,Male,Male > Female,0.8713363648006438
Succinic acid,Female - Male,4s2-,-0.19574925875923463,0.1307167459702346,15,-1.4975071273867888,0.15500724656550252,Female,Male,Male > Female,0.5354795790444633
Succinic acid,Female - Male,4s2M,0.16148338735707204,0.14319302082314003,15,1.127732248602554,0.27714930964961765,Female,Male,Female > Male,0.6577913900386232
Theobromine,Female - Male,4s2-,-0.22003243131993963,0.3195061061894965,15,-0.6886642447748407,0.5015479285929993,Female,Male,Male > Female,0.8597964490165703
Theobromine,Female - Male,4s2M,-0.0493036719671692,0.35000140324125645,15,-0.14086706941910204,0.8898492847893352,Female,Male,Male > Female,0.9777183940268404
Thiamine pyrophosphate,Female - Male,4s2-,-1.1121374643053958,0.3401944763739884,15,-3.2691226387896486,0.0051764183162365685,Female,Male,Male > Female,0.1097333637880563
