Lipids,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S66,S67,S68
LPE(P-18:1),13374,9992,426,13716,11838,11246,8539,15474,15946,20821,17261,12489,12786,13375,13666,13147,12104,17191,21728,12546,14734,12584,9719,13918,11667,13937,12704,15450,15049,10426,11155,20619,20846,14723,15657,11076,13490,10867,12839,15539,14190,19606,13079,22825,20801,13086,15153,13547,13833,14140,16222,12578,12312,10854,10494,124,10611,11517,11119,11652,13092,14030,8226,13021,9884,11165,14390,15255
CE(18:0),13299,15234,166,10284,29650,12523,4044,24970,23059,11696,18307,21109,20938,6212,25193,18209,17058,28063,11367,6918,6594,10548,8736,6005,14846,9862,12502,13245,8204,3290,10556,88450,25176,9284,5356,12878,22609,10089,4724,9182,9074,10665,8713,7464,8401,3640,9319,7766,5350,11546,9502,5408,3521,4526,4031,103,3882,7026,20690,5541,14640,5359,9998,3470,4533,2395,3867,5219
Cer(m18:1/23:0),13174,6109,116,8890,7678,6482,4993,12154,7554,7582,7761,7025,6676,5855,5145,5124,6088,9234,6521,6734,6701,6015,4798,5112,7045,7544,4514,6684,5038,3010,6385,7938,6024,7438,6110,5882,4479,5771,3857,4244,6391,5849,3903,5770,6138,3892,3837,5602,3078,3455,5826,3474,3190,3868,3716,22,3261,2339,3760,2204,4254,5311,2535,2098,3971,2552,4096,3672
AC(16:0)-OH,12722,4172,69,5835,4972,7551,654,12911,1605,5194,7424,4971,7152,3537,6065,6491,556,7565,6130,5724,4950,3617,3641,6614,5367,873,5537,4511,5745,2470,4175,4830,6150,2522,3504,4678,6918,6687,3328,4469,2320,7634,7053,6251,7518,5271,1495,6534,6261,4900,7301,3330,5180,2836,3139,7,3708,1007,4022,4708,3780,4495,3898,5090,6597,4563,1682,5466
DG(18:1_22:6),12475,9643,108,14316,13520,9595,4750,13025,16973,13486,10460,12087,14383,9440,15102,17048,7573,7556,15614,5958,13472,8909,14695,19298,12867,16430,14154,13909,14721,7746,13450,1542,11893,14756,10018,10185,14544,10749,10830,15511,7192,17982,13900,16139,19770,11409,10560,16180,13056,14503,15223,8904,13555,7657,436,6,12480,8242,14671,10946,16784,16936,9755,12097,11265,11957,10852,14863
LPE(18:1) ,12214,12304,384,11132,12639,11254,11565,14606,15550,23172,17296,13813,15010,12952,14143,14877,13197,20177,33657,14391,14336,15781,10134,14101,14263,17336,13397,17231,23001,10401,10427,18282,21719,13164,18257,14481,11178,11346,13146,22821,17048,23318,13707,27679,24139,13797,17342,17348,14459,12898,19983,12506,12530,11435,11416,78,10878,12586,13716,11227,15711,12861,9846,14465,10789,11411,13698,17028
PC(O-36:5),12192,13159,21,2325,8669,1003,2457,1008,13067,1661,16340,17873,17075,10089,2079,1034,13336,16271,1363,1320,3054,601,9653,1878,6715,14043,10972,9909,8018,270,15424,10937,11360,8900,7747,8449,3632,6287,3071,17046,1909,13255,3978,14120,16700,2220,1599,16049,1696,1553,7424,3968,1487,11292,2613,12,1314,1521,11651,8057,11254,4982,982,6886,7820,2351,8149,11617
SHexCer(d18:1/16:0),11966,9767,269,8032,8446,7458,10261,9467,9620,13353,10336,7948,7267,7608,8334,8412,8303,10870,13449,7114,7239,7477,6251,8490,6018,7414,7235,8364,8242,8216,8706,11993,13103,7273,9128,7705,7703,7403,7456,8050,6348,9680,6517,15540,11812,5951,6432,6136,6473,6568,8480,5071,5561,5699,4992,21,4587,4430,6495,5750,5452,7263,5095,5981,5665,4728,5302,6350
AC(18:0)-OH,11760,7745,72,8988,8706,6365,1428,19146,7610,9193,6188,2216,12613,4969,13367,3373,5635,9548,12586,4184,8635,4662,3312,11392,7416,5941,8825,7490,10317,4570,3164,16806,7672,8083,4867,5584,5659,4562,3516,6084,2210,4963,8669,6619,6484,7434,5918,2809,4331,7487,2658,3818,6946,1785,3312,13,5612,2687,603,5769,3295,5883,4670,5088,2611,5347,4583,3872
TG(56:9) ,11555,8091,2004,7560,17655,7268,11390,14898,10192,32096,11784,9460,12607,14132,20119,15818,14202,14633,14735,4532,5075,13225,6568,14208,9817,10575,14930,8067,9120,6277,892,11424,29250,9507,21475,8243,15651,4538,9373,10497,7853,10714,3618,24688,11027,10058,8105,8808,7170,10056,8047,3160,6527,3017,2924,,2180,2769,5573,7680,4993,6157,7790,6794,7451,5568,7307,7971
LPC(18:2) ,11341,4633,133,6820,7361,7005,4306,7840,8692,8018,9017,7569,8583,5874,7620,7709,5365,9496,11167,6353,6778,5822,5672,7529,7351,11125,7388,7692,8525,5966,7918,12637,9653,4839,7578,7430,8975,7929,5965,8928,6825,5687,9273,11526,12447,11104,7781,9374,5919,6872,10638,7871,6700,6399,5959,256,6303,5536,8824,5713,9455,9146,6413,7751,6579,5793,7493,8711
Cer(m18:1/24:0),11336,5409,36,6654,5785,5728,3446,11022,6295,5915,5813,5128,3892,3808,3798,3222,4256,2882,7546,5936,5879,4867,3629,4256,5100,5931,3814,5897,5299,3572,5096,7839,4931,6000,4341,4944,2434,3925,3666,3854,4027,4853,2979,5607,4940,2776,3121,3967,2844,2896,4275,2872,2110,3070,2717,12,2337,2668,2631,2096,3842,4380,1953,2243,3209,2059,3357,2830
dhCer(d18:0/18:0),11025,9795,1283,7053,9209,7342,8841,9843,7567,8893,8475,9098,8677,6395,8047,8334,7560,8696,9776,7180,7428,7964,8092,6411,7922,7903,7644,7410,10197,7812,8956,9254,7843,7304,8707,9441,8088,8815,7595,7866,9175,8378,8209,9596,8414,8436,7891,7486,6966,8688,9145,6719,6942,7629,6947,188,6639,7053,9414,7765,9018,8271,7543,7653,8166,6497,7309,8022
LPC(16:1) ,10856,9939,510,17302,16931,12752,9030,14938,20010,19483,18420,16440,21407,11185,18501,16991,13866,24026,26042,16229,16066,10755,15438,16817,15878,20080,15053,17601,22078,9080,16554,29836,13786,17752,15853,28156,17823,15030,12783,22179,18244,26922,13366,25672,26829,6636,14688,17893,14916,14514,11649,10120,14431,12124,13264,155,15657,14105,13786,9579,19360,20515,12940,13562,11748,10466,13886,20761
Cer(d16:1/18:0),10685,7841,177,9014,6864,8096,3557,11580,9353,4202,8947,7090,7794,4017,4173,3758,4761,9979,5825,7291,7001,5385,8197,3655,8736,6646,3459,6073,6062,3670,7635,6792,4359,6394,3400,5692,2800,7820,2314,6953,4481,6645,4953,3015,6443,1881,2887,7653,2272,2965,5924,4939,3214,5721,4556,18,4890,5588,4965,2296,5785,4072,2430,2909,2424,2291,4837,5977
PC(O-32:2),10307,7317,17,8758,10194,10635,3330,15738,12945,7332,10827,9067,13601,4290,5258,5432,5119,11773,13278,2041,8465,6411,6771,5228,6835,7280,3846,8406,10820,3619,7065,9896,7639,7900,4460,7017,5244,6132,2373,8352,7545,11286,5502,6690,9648,3054,3373,6555,1150,4481,8037,4474,3213,4956,3544,12,3685,4024,4250,1314,5199,4401,989,938,3575,2700,3739,3987
AC(17:0) ,9873,3008,148,3752,4225,34960,18493,10639,4873,45283,7802,1604,6076,28774,34204,23275,29246,4530,4083,3977,3211,2094,2741,22930,4004,3205,18683,4702,3045,16661,23515,7783,42076,4225,20163,3363,24610,5878,17044,3592,2811,6119,4792,35075,6153,17798,15999,4323,15066,1117,8255,2783,12808,1206,2749,97,2867,2897,4726,11357,3631,3834,7415,15596,15483,8379,3437,4608
PC(P-16:0/16:1),9820,7883,13,10345,11641,9738,3611,15523,12595,7274,12679,8954,13839,4195,6097,5785,5364,11538,13403,6275,7079,6433,6421,5392,7640,8167,4735,8483,10996,3582,6758,12007,8149,7451,5628,6037,4646,7394,3342,8587,8453,10929,5823,6871,10602,1193,4041,5364,3054,3877,7998,4277,2906,5390,4264,13,3519,3966,4587,2858,5968,5062,2441,1340,4066,1102,4972,5426
FA(17:0),9454,6612,946,7514,8341,8293,6992,10908,10146,11703,9038,7365,9387,7678,8990,7427,11448,11182,7755,6345,7003,8050,6272,9227,6873,6544,7936,5655,7185,5574,6315,8175,6921,7927,6247,6474,6132,6608,5261,6467,5839,4506,5583,6073,5962,4788,5709,6266,5341,5818,5735,4072,5499,4277,4524,1842,4849,3575,3784,4944,5507,4509,5656,5646,5195,6065,3385,6197
PC(35:5),9441,3678,27,1773,8481,3336,5437,8359,5430,8937,5777,6759,2607,3423,6179,5647,8245,9970,4862,1147,3472,7568,2158,2357,3498,3024,6089,2152,3727,4128,2107,3056,10577,3807,4972,1799,5853,3179,1403,1594,3445,2106,2037,12338,2116,869,5152,2911,1313,3465,1684,1854,2340,1286,1117,38,1338,1287,2292,3150,3895,1007,1277,811,1735,1504,798,2347
PE(P-20:1/22:6),9421,9224,505,12043,10099,11669,8631,9379,11036,10545,11683,11175,12125,11601,12246,12659,9520,10815,10842,7032,10916,10781,14553,12086,12511,13770,12052,12549,12220,10319,10941,15212,5694,13669,12466,11946,14364,12274,11213,14747,16219,18245,13075,12086,15718,13365,16309,16582,14702,15301,16747,14920,15131,12319,15652,93,16511,14460,16085,15370,14719,16666,14501,15572,14008,17724,16153,17952
CE(18:2),9350,6601,787,5414,11688,5766,4605,9040,6999,6294,5933,8536,8202,5279,18104,14321,8609,13154,7565,4352,3462,10378,5258,9121,9378,12223,10894,5290,6863,5262,6347,87298,19213,5252,6072,9646,23307,6433,5958,9412,11022,11103,6735,13814,5998,10975,12330,11884,8033,12798,8622,4780,9273,7196,5542,192,6633,8455,14498,8590,21356,10537,17496,9200,11118,7499,8029,9520
PC(P-16:0/18:2),9075,9348,58,11200,488,9601,11734,10025,10138,9060,9207,9775,7901,11172,9615,10667,9598,352,10128,11715,12462,12087,10975,751,11561,11047,12016,7253,10065,12308,9068,10458,8744,11763,10795,11117,13165,11279,12666,11384,8809,14048,12996,11222,13097,16535,15233,13899,14178,14915,13465,14859,14762,12690,16267,20,14991,14153,15306,14292,14435,14854,1777,14107,15501,18693,12436,1592
Cer(m18:1/20:0),8567,687,213,3412,4229,3488,1950,5686,4097,4681,4321,5536,4772,5498,3706,3266,2857,5137,4941,3025,5162,4057,4573,3267,3615,3999,4877,3061,5541,4500,3492,4385,3787,5016,2086,5185,2603,3068,1994,3031,3361,3003,1778,4070,2919,2517,2765,3685,2002,2709,5342,1833,4160,2167,1856,57,2961,1680,3211,2062,2403,2419,2438,1919,2627,1830,971,2579
CE(22:4),8551,8190,146,5505,17404,7466,3486,10062,15217,8219,14480,14376,11364,5025,22932,20552,12235,21110,7709,6331,6680,8446,10029,5636,20730,12132,14858,10108,7392,4802,10631,346715,30472,9283,5642,13913,34265,13670,7498,9761,10778,15532,15882,9398,10527,7500,18218,8696,10691,24334,10749,9040,4970,5127,7015,74,6441,14406,33871,10989,16718,7393,27701,7172,10672,4567,6568,10235
