Lipids,contrast,Genotype,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction
PC(31:0),F - M,4s2-,0.1315060325455138,0.43062656108825575,15,0.3053830033455878,0.7642713125484795,0.7642713125484795,F,M,BH,F > M
PC(31:0),F - M,4s2M,0.3251279275650037,0.44126091699858505,15,0.7368156005668779,0.4726023625657608,0.4726023625657608,F,M,BH,F > M
PC(O-16:0/16:0),F - M,4s2-,0.3888180078225098,0.3654399900041265,15,1.0639722484069662,0.30417011926985255,0.30417011926985255,F,M,BH,F > M
PC(O-16:0/16:0),F - M,4s2M,-0.029916672179768067,0.37446455854850524,15,-0.07989186558997917,0.9373794025267735,0.9373794025267735,F,M,BH,M > F
PC(P-16:0/18:0),F - M,4s2-,-0.06665241501893232,0.322203459870939,15,-0.20686436776821218,0.8388977021437813,0.8388977021437813,F,M,BH,M > F
PC(P-16:0/18:0),F - M,4s2M,0.12421215239703531,0.33016029899193516,15,0.37621771235453555,0.71202301217773,0.71202301217773,F,M,BH,F > M
PC(18:0_22:6),F - M,4s2-,0.6306257696929767,0.26183538986820903,15,2.4084817946511845,0.029334358240154835,0.029334358240154835,F,M,BH,F > M
PC(18:0_22:6),F - M,4s2M,-0.20587829638192442,0.2683014348765375,15,-0.767339527933058,0.4547892380715719,0.4547892380715719,F,M,BH,M > F
PE(P-18:0/22:6),F - M,4s2-,-0.10498080498746089,0.19438188397915612,15,-0.5400750462873286,0.5970730962142339,0.5970730962142339,F,M,BH,M > F
PE(P-18:0/22:6),F - M,4s2M,-0.07774940499301826,0.1991821594928884,15,-0.3903432174395831,0.7017701032421906,0.7017701032421906,F,M,BH,M > F
PE(P-18:0/18:1),F - M,4s2-,0.11561064351176226,0.2515888004021846,15,0.45952221770980856,0.6524486744163653,0.6524486744163653,F,M,BH,F > M
PE(P-18:0/18:1),F - M,4s2M,-0.016440253533877125,0.25780180509880224,15,-0.0637709015558538,0.9499947223337213,0.9499947223337213,F,M,BH,M > F
PC(16:0_18:2),F - M,4s2-,0.3760600957760465,0.2398208852292188,15,1.5680873474243555,0.1377110534111625,0.1377110534111625,F,M,BH,F > M
PC(16:0_18:2),F - M,4s2M,0.030377756885365148,0.24574328035926526,15,0.12361581908141812,0.9032606776239964,0.9032606776239964,F,M,BH,F > M
HexCer(d18:1/24:0),F - M,4s2-,0.12525798508868755,0.1990785850967258,15,0.6291886444131034,0.5386906655162929,0.5386906655162929,F,M,BH,F > M
HexCer(d18:1/24:0),F - M,4s2M,-0.06543335745914022,0.2039948460043048,15,-0.32075985614734315,0.7528177088276846,0.7528177088276846,F,M,BH,M > F
PE(40:4),F - M,4s2-,-0.07268936209908863,0.2745772576332281,15,-0.26473191088602416,0.7948191379613332,0.7948191379613332,F,M,BH,M > F
PE(40:4),F - M,4s2M,0.05850210598686023,0.28135796404198926,15,0.20792767031158038,0.8380822182528624,0.8380822182528624,F,M,BH,F > M
PS(38:4),F - M,4s2-,-0.006902219493550382,0.28744835074775815,15,-0.024012033729173217,0.9811595364364358,0.9811595364364358,F,M,BH,M > F
PS(38:4),F - M,4s2M,0.1430755544921004,0.2945469097868564,15,0.4857479394220584,0.6341649170647159,0.6341649170647159,F,M,BH,F > M
Cer(d18:1/18:0),F - M,4s2-,0.04332390559064743,0.29344832477881583,15,0.1476372564856264,0.8845952793812446,0.8845952793812446,F,M,BH,F > M
Cer(d18:1/18:0),F - M,4s2M,0.1896672108901905,0.30069505363618476,15,0.6307626567069227,0.5376883927471379,0.5376883927471379,F,M,BH,F > M
PC(38:5),F - M,4s2-,-0.4127125303330057,0.13936006297689027,15,-2.961483523449934,0.009704230528028844,0.009704230528028844,F,M,BH,M > F
PC(38:5),F - M,4s2M,0.14469057880312988,0.14280157040652236,15,1.0132282046424976,0.32701697976485156,0.32701697976485156,F,M,BH,F > M
SM(d18:1/24:0),F - M,4s2-,0.15735916335141564,0.21066802741036947,15,0.7469532291432569,0.46663967480579005,0.46663967480579005,F,M,BH,F > M
SM(d18:1/24:0),F - M,4s2M,-0.066496908802782,0.2158704904835883,15,-0.3080407546849831,0.7622875025606113,0.7622875025606113,F,M,BH,M > F
PA(34:1),F - M,4s2-,0.11163516097958948,0.24620261953159245,15,0.45342799841845133,0.6567311364474333,0.6567311364474333,F,M,BH,F > M
PA(34:1),F - M,4s2M,-0.01936744615258898,0.2522826120790511,15,-0.07676885058776986,0.9398220464760882,0.9398220464760882,F,M,BH,M > F
