Subclass,contrast,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction,p_adj_BH_global
HexCer,(F 4s2-) - (M 4s2-),0.0433350854375215,0.18529187547738085,15,0.23387471968684104,0.8935988486049069,0.8182441829489171,(F 4s2-),(M 4s2-),BH,(F 4s2-) > (M 4s2-),0.9916131744224951
HexCer,(F 4s2-) - F 4s2M,-0.06486005472603716,0.14938708587642835,15,-0.4341744424928994,0.8935988486049069,0.6703421074273099,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9916131744224951
HexCer,(F 4s2-) - M 4s2M,-0.09068959437816104,0.18529187547738085,15,-0.4894418287067951,0.8935988486049069,0.6316089547736001,(F 4s2-),M 4s2M,BH,M 4s2M > (F 4s2-),0.9916131744224951
HexCer,(M 4s2-) - F 4s2M,-0.10819514016355866,0.18986767253490383,15,-0.5698449805543853,0.8935988486049069,0.577218494441323,(M 4s2-),F 4s2M,BH,F 4s2M > (M 4s2-),0.9916131744224951
HexCer,(M 4s2-) - M 4s2M,-0.13402467981568256,0.21924030369686887,15,-0.6113140583904266,0.8935988486049069,0.5501446081891146,(M 4s2-),M 4s2M,BH,M 4s2M > (M 4s2-),0.9916131744224951
HexCer,F 4s2M - M 4s2M,-0.025829539652123878,0.18986767253490383,15,-0.13603969178784542,0.8935988486049069,0.8935988486049069,F 4s2M,M 4s2M,BH,M 4s2M > F 4s2M,0.9916131744224951
LPC,(F 4s2-) - (M 4s2-),-0.05027323023729917,0.21481608097439803,15,-0.23402917514024835,0.9430849880244385,0.8181264614202253,(F 4s2-),(M 4s2-),BH,(M 4s2-) > (F 4s2-),0.9916131744224951
LPC,(F 4s2-) - F 4s2M,0.012573317296715791,0.1731902613294969,15,0.07259829276886925,0.9430849880244385,0.9430849880244385,(F 4s2-),F 4s2M,BH,(F 4s2-) > F 4s2M,0.9916131744224951
LPC,(F 4s2-) - M 4s2M,0.2729859491955724,0.214816080974398,15,1.2707891697740596,0.5104084041745731,0.22315932271095523,(F 4s2-),M 4s2M,BH,(F 4s2-) > M 4s2M,0.9916131744224951
LPC,(M 4s2-) - F 4s2M,0.06284654753401496,0.22012098054810467,15,0.28550912038246457,0.9430849880244385,0.7791588762305858,(M 4s2-),F 4s2M,BH,(M 4s2-) > F 4s2M,0.9916131744224951
LPC,(M 4s2-) - M 4s2M,0.3232591794328716,0.2541738147474652,15,1.2718036267978519,0.5104084041745731,0.22280823280066142,(M 4s2-),M 4s2M,BH,(M 4s2-) > M 4s2M,0.9916131744224951
LPC,F 4s2M - M 4s2M,0.2604126318988566,0.2201209805481047,15,1.1830432121936993,0.5104084041745731,0.25520420208728656,F 4s2M,M 4s2M,BH,F 4s2M > M 4s2M,0.9916131744224951
LPE,(F 4s2-) - (M 4s2-),0.1637868182230502,0.3248541398265602,15,0.5041857195062869,0.7457466704772041,0.6214555587310034,(F 4s2-),(M 4s2-),BH,(F 4s2-) > (M 4s2-),0.9916131744224951
LPE,(F 4s2-) - F 4s2M,0.1343709546142846,0.2619057805883545,15,0.5130507402793054,0.7457466704772041,0.6153885114631192,(F 4s2-),F 4s2M,BH,(F 4s2-) > F 4s2M,0.9916131744224951
LPE,(F 4s2-) - M 4s2M,0.4008551452931195,0.3248541398265602,15,1.2339542463800408,0.7457466704772041,0.23620485490277646,(F 4s2-),M 4s2M,BH,(F 4s2-) > M 4s2M,0.9916131744224951
LPE,(M 4s2-) - F 4s2M,-0.02941586360876558,0.33287643769209174,15,-0.08836871667070362,0.9307526415155263,0.9307526415155263,(M 4s2-),F 4s2M,BH,F 4s2M > (M 4s2-),0.9916131744224951
LPE,(M 4s2-) - M 4s2M,0.2370683270700693,0.3843726018168257,15,0.6167669754543149,0.7457466704772041,0.5466364226644921,(M 4s2-),M 4s2M,BH,(M 4s2-) > M 4s2M,0.9916131744224951
LPE,F 4s2M - M 4s2M,0.2664841906788349,0.33287643769209174,15,0.8005498752823437,0.7457466704772041,0.4358891161214997,F 4s2M,M 4s2M,BH,F 4s2M > M 4s2M,0.9916131744224951
LPI,(F 4s2-) - (M 4s2-),-0.5479162857619608,0.5974585381652949,15,-0.9170783422805022,0.8552383102032117,0.3736117059742676,(F 4s2-),(M 4s2-),BH,(M 4s2-) > (F 4s2-),0.9916131744224951
LPI,(F 4s2-) - F 4s2M,-0.23464790830887167,0.4816864728610273,15,-0.4871382559596408,0.8552383102032117,0.6332023295454773,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9916131744224951
LPI,(F 4s2-) - M 4s2M,-0.2826155103495029,0.5974585381652949,15,-0.47302949459450777,0.8552383102032117,0.6430020686772424,(F 4s2-),M 4s2M,BH,M 4s2M > (F 4s2-),0.9916131744224951
LPI,(M 4s2-) - F 4s2M,0.31326837745308916,0.612212822528197,15,0.5116984909911142,0.8552383102032117,0.616312107863596,(M 4s2-),F 4s2M,BH,(M 4s2-) > F 4s2M,0.9916131744224951
LPI,(M 4s2-) - M 4s2M,0.26530077541245795,0.7069224757759902,15,0.37528977292911325,0.8552383102032117,0.7126985918360098,(M 4s2-),M 4s2M,BH,(M 4s2-) > M 4s2M,0.9916131744224951
LPI,F 4s2M - M 4s2M,-0.04796760204063122,0.612212822528197,15,-0.07835118814164,0.9385843527922104,0.9385843527922104,F 4s2M,M 4s2M,BH,M 4s2M > F 4s2M,0.9916131744224951
PA,(F 4s2-) - (M 4s2-),-0.002208407880765659,0.2695343105049574,15,-0.008193420261147201,0.9935706480238666,0.9935706480238666,(F 4s2-),(M 4s2-),BH,(M 4s2-) > (F 4s2-),0.9935706480238666
PA,(F 4s2-) - F 4s2M,-0.12150675385256138,0.21730550833008996,15,-0.5591517434891295,0.9935706480238666,0.5843106657214165,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9916131744224951
PA,(F 4s2-) - M 4s2M,-0.1407795726471731,0.26953431050495735,15,-0.5223066866085825,0.9935706480238666,0.6090847216626014,(F 4s2-),M 4s2M,BH,M 4s2M > (F 4s2-),0.9916131744224951
PA,(M 4s2-) - F 4s2M,-0.11929834597179573,0.2761904809481165,15,-0.431942279698649,0.9935706480238666,0.6719279630391248,(M 4s2-),F 4s2M,BH,F 4s2M > (M 4s2-),0.9916131744224951
PA,(M 4s2-) - M 4s2M,-0.13857116476640746,0.31891729704601457,15,-0.43450501446590994,0.9935706480238666,0.6701073876798709,(M 4s2-),M 4s2M,BH,M 4s2M > (M 4s2-),0.9916131744224951
PA,F 4s2M - M 4s2M,-0.019272818794611735,0.27619048094811655,15,-0.06978089443362173,0.9935706480238666,0.945289850944674,F 4s2M,M 4s2M,BH,M 4s2M > F 4s2M,0.9916131744224951
PC,(F 4s2-) - (M 4s2-),0.02637422914908076,0.1878299384740664,15,0.14041547030971444,0.9496659605617448,0.8901999411612267,(F 4s2-),(M 4s2-),BH,(F 4s2-) > (M 4s2-),0.9916131744224951
PC,(F 4s2-) - F 4s2M,0.009720623861301365,0.15143333768249814,15,0.06419077866250333,0.9496659605617448,0.9496659605617448,(F 4s2-),F 4s2M,BH,(F 4s2-) > F 4s2M,0.9916131744224951
PC,(F 4s2-) - M 4s2M,0.049066935064054434,0.1878299384740664,15,0.2612306401347679,0.9496659605617448,0.7974673365421134,(F 4s2-),M 4s2M,BH,(F 4s2-) > M 4s2M,0.9916131744224951
PC,(M 4s2-) - F 4s2M,-0.016653605287779396,0.19246841319169788,15,-0.086526433151358,0.9496659605617448,0.9321924103293643,(M 4s2-),F 4s2M,BH,F 4s2M > (M 4s2-),0.9916131744224951
PC,(M 4s2-) - M 4s2M,0.022692705914973677,0.22224338033345378,15,0.10210745481339224,0.9496659605617448,0.9200238665027605,(M 4s2-),M 4s2M,BH,(M 4s2-) > M 4s2M,0.9916131744224951
PC,F 4s2M - M 4s2M,0.03934631120275307,0.19246841319169788,15,0.2044299661969171,0.9496659605617448,0.8407654468108455,F 4s2M,M 4s2M,BH,F 4s2M > M 4s2M,0.9916131744224951
PE,(F 4s2-) - (M 4s2-),-0.07364242968780657,0.17766661915735896,15,-0.41449783891357567,0.8540385553699108,0.6843764923447632,(F 4s2-),(M 4s2-),BH,(M 4s2-) > (F 4s2-),0.9916131744224951
PE,(F 4s2-) - F 4s2M,-0.07799314657774059,0.14323940769154248,15,-0.5444950369083777,0.8540385553699108,0.5941036665236127,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9916131744224951
PE,(F 4s2-) - M 4s2M,-0.15282379772123098,0.17766661915735896,15,-0.8601716993661891,0.8540385553699108,0.4032336296939064,(F 4s2-),M 4s2M,BH,M 4s2M > (F 4s2-),0.9916131744224951
PE,(M 4s2-) - F 4s2M,-0.00435071688993402,0.18205410992599516,15,-0.023897932827237917,0.9812490447383351,0.9812490447383351,(M 4s2-),F 4s2M,BH,F 4s2M > (M 4s2-),0.9916131744224951
PE,(M 4s2-) - M 4s2M,-0.0791813680334244,0.21021797874570206,15,-0.37666315938280936,0.8540385553699108,0.7116987961415924,(M 4s2-),M 4s2M,BH,M 4s2M > (M 4s2-),0.9916131744224951
PE,F 4s2M - M 4s2M,-0.07483065114349038,0.18205410992599516,15,-0.4110352200997219,0.8540385553699108,0.6868588875312245,F 4s2M,M 4s2M,BH,M 4s2M > F 4s2M,0.9916131744224951
PG,(F 4s2-) - (M 4s2-),0.028192639310966508,0.2942989682296589,15,0.095795916243125,0.972260056922979,0.9249507744229761,(F 4s2-),(M 4s2-),BH,(F 4s2-) > (M 4s2-),0.9916131744224951
PG,(F 4s2-) - F 4s2M,-0.06632833034011629,0.23727141369258356,15,-0.2795462348703051,0.972260056922979,0.7836434728298439,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9916131744224951
PG,(F 4s2-) - M 4s2M,0.040505180206503615,0.29429896822965884,15,0.13763276320729415,0.972260056922979,0.8923611693875626,(F 4s2-),M 4s2M,BH,(F 4s2-) > M 4s2M,0.9916131744224951
PG,(M 4s2-) - F 4s2M,-0.09452096965108278,0.3015667037922022,15,-0.313433043046468,0.972260056922979,0.7582678690726097,(M 4s2-),F 4s2M,BH,F 4s2M > (M 4s2-),0.9916131744224951
PG,(M 4s2-) - M 4s2M,0.012312540895537107,0.3482192352261122,15,0.03535858921619335,0.972260056922979,0.972260056922979,(M 4s2-),M 4s2M,BH,(M 4s2-) > M 4s2M,0.9916131744224951
PG,F 4s2M - M 4s2M,0.1068335105466199,0.30156670379220224,15,0.35426162505073727,0.972260056922979,0.72807365097043375,F 4s2M,M 4s2M,BH,F 4s2M > M 4s2M,0.9916131744224951
PI,(F 4s2-) - (M 4s2-),-0.09835029043706472,0.24689655647584274,15,-0.39834614075181596,0.9852566797146587,0.6959875324070606,(F 4s2-),(M 4s2-),BH,(M 4s2-) > (F 4s2-),0.9916131744224951
PI,(F 4s2-) - F 4s2M,-0.1346453483772894,0.19905436754755934,15,-0.6764249889926132,0.9852566797146587,0.5090675634040425,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9916131744224951
PI,(F 4s2-) - M 4s2M,0.0046390647744265,0.24689655647584274,15,0.01878950780295878,0.9852566797146587,0.9852566797146587,(F 4s2-),M 4s2M,BH,(F 4s2-) > M 4s2M,0.9916131744224951
PI,(M 4s2-) - F 4s2M,-0.036295057940224675,0.2529936858492924,15,-0.14346230744211355,0.9852566797146587,0.8878346048001537,(M 4s2-),F 4s2M,BH,F 4s2M > (M 4s2-),0.9916131744224951
PI,(M 4s2-) - M 4s2M,0.10298935521149122,0.29213194525672914,15,0.35254396817500705,0.9852566797146587,0.7293349991340448,(M 4s2-),M 4s2M,BH,(M 4s2-) > M 4s2M,0.9916131744224951
PI,F 4s2M - M 4s2M,0.13928441315171589,0.2529936858492924,15,0.5505450172961519,0.9852566797146587,0.5900512911301666,F 4s2M,M 4s2M,BH,F 4s2M > M 4s2M,0.9916131744224951
PIP1,(F 4s2-) - (M 4s2-),0.34607598670051026,0.22310772685101923,15,1.5511609193688007,0.2834053030630775,0.14170265153153874,(F 4s2-),(M 4s2-),BH,(F 4s2-) > (M 4s2-),0.9916131744224951
PIP1,(F 4s2-) - F 4s2M,-0.15385846404377534,0.1798751999509906,15,-0.8553622961125054,0.4869678550194876,0.405806545849573,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9916131744224951
PIP1,(F 4s2-) - M 4s2M,-0.2858150989101544,0.2231077268510192,15,-1.2810632018182329,0.32943559779878406,0.21962373186585604,(F 4s2-),M 4s2M,BH,M 4s2M > (F 4s2-),0.9916131744224951
PIP1,(M 4s2-) - F 4s2M,-0.4999344507442856,0.2286173892547556,15,-2.186773509985248,0.1350500600960105,0.04501668669867017,(M 4s2-),F 4s2M,BH,F 4s2M > (M 4s2-),0.9916131744224951
PIP1,(M 4s2-) - M 4s2M,-0.6318910856106646,0.2639846224553252,15,-2.393666266365955,0.1350500600960105,0.03019631391505754,(M 4s2-),M 4s2M,BH,M 4s2M > (M 4s2-),0.9916131744224951
PIP1,F 4s2M - M 4s2M,-0.13195663486637904,0.2286173892547556,15,-0.5771942164877737,0.5723702416503453,0.5723702416503453,F 4s2M,M 4s2M,BH,M 4s2M > F 4s2M,0.9916131744224951
PS,(F 4s2-) - (M 4s2-),0.2832477185539846,0.2306649359121417,15,1.2279617508136185,0.4767647537118235,0.23838237685591174,(F 4s2-),(M 4s2-),BH,(F 4s2-) > (M 4s2-),0.9916131744224951
PS,(F 4s2-) - F 4s2M,-0.12185746647594395,0.18596801668184523,15,-0.6552603434192567,0.6266678757427838,0.5222232297856532,(F 4s2-),F 4s2M,BH,F 4s2M > (F 4s2-),0.9916131744224951
PS,(F 4s2-) - M 4s2M,-0.19287545137694107,0.23066493591214168,15,-0.8361715256557489,0.6242706743446564,0.4161804495631043,(F 4s2-),M 4s2M,BH,M 4s2M > (F 4s2-),0.9916131744224951
PS,(M 4s2-) - F 4s2M,-0.40510518502992854,0.23636122417249417,15,-1.7139240433713723,0.3213764702114801,0.10712549007049336,(M 4s2-),F 4s2M,BH,F 4s2M > (M 4s2-),0.9916131744224951
PS,(M 4s2-) - M 4s2M,-0.4761231699309256,0.272926432803958,15,-1.7445110209347992,0.3213764702114801,0.10151866319939044,(M 4s2-),M 4s2M,BH,M 4s2M > (M 4s2-),0.9916131744224951
PS,F 4s2M - M 4s2M,-0.0710179849009971,0.2363612241724942,15,-0.30046377171057825,0.7679476415551663,0.7679476415551663,F 4s2M,M 4s2M,BH,M 4s2M > F 4s2M,0.9916131744224951
