Lipids,contrast,Sex,estimate_log2,SE,df,t_ratio,p_adj,raw_p,label1,label2,adj_method,Direction
AC(14:1),(4s2-) - 4s2M,M,-0.09756896979816009,0.4458465443318213,15,-0.21883980270472697,0.8297245687651704,0.8297245687651704,(4s2-),4s2M,BH,4s2M > (4s2-)
FA(22:5),(4s2-) - 4s2M,F,0.1677145336500011,1.142090440161827,15,0.1468487325979517,0.8852069306824151,0.8852069306824151,(4s2-),4s2M,BH,(4s2-) > 4s2M
FA(22:5),(4s2-) - 4s2M,M,-0.7632810700853568,1.6761305268213857,15,-0.4553828343743868,0.6553560913231885,0.6553560913231885,(4s2-),4s2M,BH,4s2M > (4s2-)
SM(35:2),(4s2-) - 4s2M,F,-0.05365095212531601,0.30705520308216794,15,-0.17472738317663036,0.8636304095555747,0.8636304095555747,(4s2-),4s2M,BH,4s2M > (4s2-)
SM(35:2),(4s2-) - 4s2M,M,-0.21202820928429073,0.45063383879864816,15,-0.4705110691410571,0.6447586288762244,0.6447586288762244,(4s2-),4s2M,BH,4s2M > (4s2-)
PI(36:2),(4s2-) - 4s2M,F,0.008038578001558945,0.22948550167920495,15,0.03502869655267363,0.9725187548408314,0.9725187548408314,(4s2-),4s2M,BH,(4s2-) > 4s2M
PI(36:2),(4s2-) - 4s2M,M,-0.005199093863501711,0.336792640320966,15,-0.015437076827293299,0.987886941333536,0.987886941333536,(4s2-),4s2M,BH,4s2M > (4s2-)
PE(P-17:0/22:6),(4s2-) - 4s2M,F,0.01275219366460345,0.3970653066120605,15,0.03211611151175834,0.9748029044691698,0.9748029044691698,(4s2-),4s2M,BH,(4s2-) > 4s2M
PE(P-17:0/22:6),(4s2-) - 4s2M,M,-0.4208360332187203,0.5827325561536671,15,-0.7221769725660315,0.4812935705605321,0.4812935705605321,(4s2-),4s2M,BH,4s2M > (4s2-)
DG(18:1_18:1),(4s2-) - 4s2M,F,-0.07628353181570127,0.25751910554896085,15,-0.29622474671572613,0.7711202544579645,0.7711202544579645,(4s2-),4s2M,BH,4s2M > (4s2-)
DG(18:1_18:1),(4s2-) - 4s2M,M,0.3889354097621377,0.3779347229184336,15,1.0291073727197018,0.3197387136464326,0.3197387136464326,(4s2-),4s2M,BH,(4s2-) > 4s2M
