"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Perp",193.518706831258,0.313478280070641,0.0900083253368475,3.48276983154035,0.000496254830253344,0.125736269829469
"Glud1",9370.50104833073,0.217671242681416,0.0624809033074687,3.48380434915058,0.000494340715613015,0.125736269829469
"Osbpl6",850.244470271934,-0.382712425042225,0.109929081924191,-3.48144838784471,0.000498709881554522,0.125736269829469
"Klhl11",436.290132221123,-0.491940977817715,0.141096611392208,-3.48655416287964,0.000489286294190855,0.125736269829469
"ENSMUSG00000124710",399.680022403824,0.696936233038273,0.199612496006481,3.4914459113604,0.000480413726462233,0.125736269829469
"Ankrd52",1188.50716158496,-0.260830119727176,0.0757273086009621,-3.44433368286725,0.000572468715112542,0.128771304006871
"Degs2",82.4944486155465,0.55151261802249,0.15940576853363,3.45980338789394,0.000540569934370526,0.128771304006871
"Arhgef2",2205.16754715597,-0.336510130195506,0.0982269918368539,-3.42584175594442,0.000612897346383692,0.128771304006871
"Gstk1",371.17181687814,0.357287465441618,0.102937783857581,3.47090691145964,0.000518703783545946,0.128771304006871
"Ranbp10",680.382724371383,-0.236063208331999,0.0688387092692567,-3.42922188457453,0.000605314447094469,0.128771304006871
"Nos1ap",1128.81541151697,-0.595053320101333,0.173363160330389,-3.43240927869163,0.000598243995166475,0.128771304006871
"Dgki",425.966014514507,-0.403637688278772,0.117470436854896,-3.43607889002203,0.000590199085762975,0.128771304006871
"Urb1",243.564888885076,-0.37114164715189,0.107478553301803,-3.45316936030683,0.000554041040064898,0.128771304006871
"Zfp281",810.857485418147,-0.313581310752049,0.0912372431393662,-3.43698801018186,0.000588221641534415,0.128771304006871
"Csrnp2",410.968534804144,-0.369105221121767,0.106969717294877,-3.45055806873152,0.000559428803928097,0.128771304006871
"Hook2",266.796693731257,-0.377853113712578,0.109290478270516,-3.45732875994298,0.000545558842835483,0.128771304006871
"Smyd1",80.8859001247499,0.763040014788305,0.220253137269665,3.46437750784037,0.00053146011678199,0.128771304006871
"Chd6",1291.63849931097,-0.336603556665369,0.0981218936038625,-3.43046331763943,0.000602551436464571,0.128771304006871
"Pdgfc",229.724810147486,0.253978048278131,0.0744621700647541,3.41083328698675,0.000647646775448448,0.133361957981773
"Trmt10b",296.717697178704,0.277832172579018,0.0815935610781988,3.40507472535419,0.000661459511444386,0.133361957981773
"Nufip2",738.376654509239,-0.250848321309997,0.0736578459574501,-3.40558861108842,0.000660215840043222,0.133361957981773
"Ankrd42",186.077487520876,-0.337853285608922,0.0992905190788476,-3.40267418020676,0.000667298056779679,0.133361957981773
"Marveld1",327.521311762196,0.205921099993684,0.0605796318294689,3.39918044687611,0.000675881085860988,0.133449870302288
"Bckdha",1193.76865724045,0.175161540451206,0.051642284744301,3.3918239930416,0.000694290239231213,0.135452719530013
"Lsr",393.302030373538,0.489814292413509,0.144843849328139,3.38167132871379,0.000720462895195203,0.13564272055231
"Adam19",284.703484564367,-0.297325200745259,0.0888558902680598,-3.34615071491929,0.000819418436336265,0.13564272055231
"Dusp1",750.323490110974,-0.348558822404241,0.10390458993268,-3.35460466789842,0.000794784791675821,0.13564272055231
"Tnrc6c",1646.30555110994,-0.32038658862076,0.0956769318193166,-3.34862941911433,0.000812123413371008,0.13564272055231
"Klf7",834.62775741656,-0.243797312164824,0.0726529197249721,-3.35564369729007,0.000791805092798535,0.13564272055231
"Eif4g3",2968.46277472055,-0.399456222517942,0.118848390314821,-3.3610570699343,0.000776447805023752,0.13564272055231
"Rimbp2",2160.92446820211,-0.349497309567253,0.103444302511333,-3.37860376146828,0.000728549329830362,0.13564272055231
"Cep350",966.930776327744,-0.195273523656418,0.0582933201324602,-3.34984391372283,0.000808571098523824,0.13564272055231
"Vps13c",1437.0894238428,-0.404204565506409,0.119780889338923,-3.37453301388257,0.000739410463887181,0.13564272055231
"Mmd2",5819.28952124209,0.321980103519301,0.0961111740066712,3.35007980962705,0.000807882793329064,0.13564272055231
"Gpr34",219.326613158964,0.830927558393884,0.247067310360105,3.36316268300647,0.000770549405249158,0.13564272055231
"Prdm11",208.699907215489,-0.284814436888539,0.0846308139893607,-3.36537513303776,0.000764396564405348,0.13564272055231
"A330048O09Rik",36.6642409950524,0.825569103505141,0.244929495499487,3.37063979093881,0.00074993846301997,0.13564272055231
"Gm44832",123.91937102838,-0.494213564673005,0.147070643206168,-3.36038215308681,0.000778347285059896,0.13564272055231
"ENSMUSG00000135450",611.502822567295,0.344464704413141,0.102281271047953,3.36781798743628,0.000757655974209849,0.13564272055231
"Ctsh",809.546097815864,0.404029125430031,0.121013997472734,3.33869745540026,0.000841721845489397,0.136693850652745
"Pprc1",519.253438191331,-0.235082630010656,0.0704165505063803,-3.33845705761113,0.000842450507440031,0.136693850652745
"Gpc5",1538.42854025542,0.263927049020144,0.0792031078872459,3.33228147304361,0.000861370884487812,0.138393588774375
"Zfp263",412.107059927707,-0.22609690641814,0.067971196762783,-3.32636347727127,0.000879871100530597,0.138709642745998
"Atr",259.332518092879,-0.294886323931926,0.0886545981706612,-3.32623834540726,0.000880266221966303,0.138709642745998
"A230006K03Rik",89.2781558953608,-0.434660411902526,0.130790674286054,-3.32332877917485,0.000889500095366178,0.138829786312961
"Asrgl1",5713.75269251091,0.312462307823458,0.0942291513040232,3.31598346689256,0.000913212312104035,0.13909521135685
"Dhx9",1304.37341975949,-0.385194576960611,0.116199943002763,-3.31492913857499,0.000916663584729056,0.13909521135685
"Ly6a",2182.22734507376,0.418605076246109,0.126193592277076,3.317165861536,0.000909356149680519,0.13909521135685
